,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-07 21:16:03,-1547.0,-37.0,-40.0,-7.0,6.0,-2107.0
2023-07-07 21:17:03,1033.0,42.0,0.0,6.0,8.0,745.0
2023-07-07 21:18:03,401.0,-24.0,20.0,5.0,4.0,1321.0
2023-07-07 21:19:03,1.0,17.0,-12.0,-4.0,5.0,-778.0
2023-07-07 21:21:03,-599.0,2.0,-3.0,0.0,2.0,-577.0
2023-07-07 21:22:03,153.0,-12.0,4.0,0.0,0.0,290.0
2023-07-07 21:23:03,75.0,18.0,7.0,2.0,1.0,191.0
2023-07-07 21:24:03,-1081.0,-54.0,-16.0,-6.0,-1.0,-1204.0
2023-07-07 21:25:03,698.0,43.0,11.0,6.0,4.0,1032.0
2023-07-07 21:28:03,-262.0,-40.0,-10.0,-3.0,2.0,-386.0
2023-07-07 22:26:23,-56.0,-2.0,4.0,-2.0,1.0,-408.0
2023-07-07 22:27:23,216.0,-32.0,21.0,5.0,1.0,1773.0
2023-07-07 22:28:23,-444.0,14.0,-23.0,-7.0,0.0,-1401.0
2023-07-07 22:29:23,-19.0,-28.0,-1.0,4.0,1.0,-624.0
2023-07-07 22:30:23,-212.0,9.0,3.0,2.0,2.0,566.0
2023-07-07 22:31:23,981.0,14.0,8.0,-2.0,0.0,521.0
2023-07-07 22:32:23,-1060.0,-23.0,-13.0,-6.0,-1.0,-1628.0
2023-07-08 01:34:00,487.0,3.0,0.0,1.0,1.0,418.0
2023-07-08 01:48:56,-801.0,-12.0,-3.0,-2.0,0.0,-756.0
2023-07-08 02:34:48,-2149.0,-16.0,-73.0,-9.0,3.0,-3060.0
2023-07-08 02:35:48,165.0,0.0,1.0,3.0,1.0,-117.0
2023-07-08 03:17:00,-1413.0,-23.0,-30.0,-4.0,2.0,-1426.0
2023-07-08 03:18:00,644.0,28.0,6.0,-5.0,3.0,394.0
2023-07-08 03:19:00,-468.0,4.0,10.0,2.0,1.0,264.0
