,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-22 23:12:07,686.0,36.0,-2.0,18.0,13.0,645.0
2023-02-23 06:16:51,199.0,-29.0,-3.0,1.0,0.0,509.0
2023-02-23 06:26:33,232.0,25.0,0.0,5.0,2.0,-222.0
2023-02-23 23:09:09,726.0,35.0,0.0,6.0,2.0,1283.0
2023-02-24 22:50:33,-341.0,-14.0,3.0,0.0,1.0,71.0
2023-02-24 22:52:33,158.0,7.0,-3.0,0.0,-2.0,-285.0
2023-02-24 23:01:58,79.0,2.0,3.0,1.0,2.0,222.0
2023-02-25 06:51:52,891.0,41.0,-3.0,0.0,3.0,1255.0
2023-02-25 06:56:52,-148.0,-7.0,1.0,-2.0,-3.0,-127.0
2023-02-25 07:02:52,517.0,8.0,-1.0,-2.0,-1.0,699.0
2023-02-25 07:07:55,-107.0,8.0,3.0,4.0,3.0,311.0
2023-02-25 07:08:55,-886.0,-36.0,-2.0,1.0,1.0,-1290.0
2023-02-25 07:14:55,1147.0,45.0,1.0,-2.0,0.0,1471.0
2023-02-27 23:02:30,538.0,5.0,0.0,-5.0,1.0,945.0
2023-02-28 22:42:25,1348.0,35.0,-1.0,4.0,5.0,1851.0
2023-03-01 22:30:08,-477.0,0.0,-1.0,6.0,2.0,-1058.0
2023-03-03 06:46:17,-16.0,0.0,-1.0,1.0,-1.0,-134.0
2023-03-06 23:07:36,196.0,7.0,2.0,3.0,-5.0,-71.0
2023-03-06 23:08:36,-123.0,-3.0,-3.0,-2.0,5.0,96.0
2023-03-06 23:15:36,-612.0,-24.0,3.0,2.0,1.0,-482.0
2023-03-06 23:42:42,413.0,-2.0,-1.0,0.0,1.0,509.0
2023-03-07 07:10:59,124.0,7.0,-3.0,0.0,-1.0,-91.0
2023-03-07 08:20:09,-150.0,-5.0,0.0,2.0,-3.0,598.0
2023-03-07 08:23:09,-48.0,-3.0,3.0,-2.0,3.0,217.0
2023-03-07 08:27:09,371.0,16.0,-3.0,1.0,-2.0,-737.0
2023-03-07 23:08:43,345.0,14.0,-2.0,-6.0,-1.0,323.0
2023-03-08 01:54:12,-1661.0,-10.0,0.0,-2.0,0.0,-1846.0
2023-03-08 05:45:24,-443.0,6.0,-1.0,-2.0,3.0,-800.0
2023-03-08 06:28:28,-169.0,28.0,3.0,2.0,0.0,49.0
2023-03-08 06:33:29,594.0,1.0,-2.0,1.0,1.0,200.0
2023-03-08 06:36:28,436.0,54.0,0.0,-6.0,0.0,1075.0
2023-03-08 06:44:29,57.0,4.0,0.0,-1.0,-4.0,381.0
2023-03-09 03:08:03,95.0,-13.0,1.0,-1.0,3.0,-31.0
