,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-23 03:59:00,1981,20,101,59,91,1540.0
2023-02-23 09:22:29,2530,32,96,40,91,2315.0
2023-02-23 10:19:21,1544,29,100,50,95,260.0
2023-02-25 05:38:00,1217,22,96,50,93,417.0
2023-02-25 08:13:37,1706,44,98,47,91,1475.0
2023-02-25 08:15:37,1405,47,99,46,96,1373.0
2023-02-27 21:55:04,1476,27,96,27,88,1390.0
2023-02-28 03:49:28,1134,19,99,55,91,831.0
2023-02-28 21:42:16,1562,28,100,26,78,1396.0
2023-02-28 22:47:00,2873,95,97,46,91,3043.0
2023-02-28 23:03:20,2684,103,96,42,93,2412.0
2023-02-28 23:05:20,2702,103,99,44,95,3198.0
2023-02-28 23:06:20,2957,114,97,45,91,3009.0
2023-03-01 06:34:59,2488,95,97,48,92,2460.0
2023-03-01 06:53:35,2771,107,98,43,93,3075.0
2023-03-01 06:55:35,2863,110,97,42,92,2742.0
2023-03-01 06:56:35,3023,117,96,43,91,2714.0
2023-03-02 07:41:52,2316,89,97,43,91,1481.0
2023-03-03 23:27:26,2627,102,96,48,94,2493.0
2023-03-03 23:30:27,2595,100,98,46,95,2868.0
2023-03-04 00:10:55,2346,91,99,45,94,2682.0
2023-03-04 05:52:56,2805,110,96,49,91,2560.0
2023-03-04 05:56:56,2702,103,99,50,93,2995.0
2023-03-04 05:59:56,2549,97,99,53,94,2764.0
2023-03-04 06:01:56,2794,108,97,52,94,471.0
2023-03-04 06:04:56,3662,67,96,53,91,4250.0
2023-03-04 06:24:58,2711,106,96,48,91,457.0
2023-03-04 06:29:58,2866,110,96,48,95,2879.0
2023-03-04 06:32:58,2680,103,97,49,93,2779.0
2023-03-04 06:37:58,2230,85,100,51,94,2239.0
2023-03-04 06:40:58,3135,58,99,53,93,3678.0
2023-03-06 22:51:48,2898,74,96,55,92,2489.0
2023-03-06 22:53:48,2460,83,97,51,91,1285.0
2023-03-06 23:52:22,2251,41,97,56,91,1746.0
2023-03-06 23:56:22,2582,100,100,51,93,2732.0
2023-03-07 00:01:22,2690,103,98,49,91,2685.0
2023-03-07 00:11:22,2838,109,96,48,92,2790.0
2023-03-07 00:14:22,2749,107,98,49,94,2676.0
2023-03-07 00:15:22,2572,99,97,51,93,2560.0
2023-03-07 00:20:22,2423,92,97,51,91,2731.0
2023-03-07 00:21:22,3154,105,98,53,95,3267.0
2023-03-07 00:23:22,2811,107,96,53,94,3103.0
2023-03-07 00:38:22,1757,68,98,51,91,1843.0
2023-03-07 00:56:22,1674,31,97,57,93,1292.0
2023-03-07 01:18:33,2530,33,97,68,93,2243.0
2023-03-07 06:45:55,3023,29,99,47,85,3243.0
2023-03-07 07:07:55,2181,84,96,55,93,1701.0
