,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-07 21:57:44,1001,7,99,26,37,640.0
2023-07-07 21:57:55,1317,19,104,28,37,1407.0
2023-07-07 21:58:05,838,13,99,25,38,601.0
2023-07-07 21:58:15,893,10,99,27,39,645.0
2023-07-07 23:29:34,826,13,99,31,44,1903.0
2023-07-07 23:42:02,1234,10,98,30,55,1023.0
2023-07-07 23:56:18,2184,51,102,30,57,1761.0
2023-07-07 23:56:30,1585,37,101,30,56,1642.0
2023-07-07 23:56:40,1987,46,106,30,56,1664.0
2023-07-07 23:56:50,2196,51,110,30,57,1845.0
2023-07-07 23:57:00,2147,50,108,30,57,1790.0
2023-07-07 23:57:10,1731,40,102,30,57,1681.0
2023-07-07 23:57:20,1688,39,108,30,57,1545.0
2023-07-07 23:57:30,2140,49,111,30,58,1777.0
2023-07-07 23:57:40,2383,55,157,31,59,3521.0
2023-07-07 23:57:50,1549,50,101,30,59,1625.0
2023-07-07 23:57:59,890,22,99,27,59,664.0
2023-07-07 23:58:49,1644,38,107,31,61,1744.0
2023-07-07 23:58:59,1775,41,102,31,62,1782.0
2023-07-07 23:59:09,2175,55,123,31,62,1171.0
2023-07-07 23:59:19,1712,56,104,30,62,1591.0
2023-07-07 23:59:29,864,4,99,28,62,625.0
2023-07-08 00:00:49,3233,41,211,35,65,2454.0
2023-07-08 00:00:59,2180,53,102,31,66,1707.0
2023-07-08 00:01:09,859,4,99,28,66,623.0
2023-07-08 00:01:29,1186,9,102,32,66,1562.0
2023-07-08 00:01:39,2082,48,145,34,67,3543.0
2023-07-08 00:01:49,1913,62,110,31,68,1552.0
2023-07-08 00:01:59,1458,47,101,31,67,1516.0
2023-07-08 00:02:09,897,27,100,28,67,657.0
2023-07-08 00:02:19,1650,25,110,32,66,1681.0
2023-07-08 00:02:29,1618,35,103,29,67,1224.0
2023-07-08 00:02:39,1413,33,113,31,67,1743.0
2023-07-08 00:02:49,1875,43,104,31,67,1533.0
2023-07-08 00:02:59,1890,44,103,31,67,1603.0
2023-07-08 00:03:09,1165,27,100,30,67,1157.0
2023-07-08 00:03:19,1611,25,103,31,67,1301.0
2023-07-08 00:03:29,1542,36,106,32,67,1294.0
2023-07-08 00:03:39,1195,28,102,32,67,1246.0
2023-07-08 00:03:49,1649,38,104,31,67,1306.0
2023-07-08 00:03:59,1691,40,101,32,67,1279.0
2023-07-08 00:04:09,1832,41,102,32,67,1396.0
2023-07-08 00:04:19,1346,31,105,31,66,1652.0
2023-07-08 00:04:29,1622,37,106,31,67,1348.0
2023-07-08 00:04:39,1862,43,102,32,67,1825.0
2023-07-08 00:04:49,1312,30,102,31,66,1229.0
2023-07-08 00:05:49,1213,10,102,33,67,1017.0
2023-07-08 00:05:59,1027,8,101,32,67,743.0
2023-07-08 00:06:09,1543,24,110,34,67,1889.0
2023-07-08 00:06:19,1647,37,102,33,67,1270.0
2023-07-08 00:06:29,1911,44,109,34,68,1591.0
2023-07-08 00:06:39,1888,44,118,34,68,1994.0
2023-07-08 00:06:49,1928,44,105,34,68,1601.0
2023-07-08 00:06:59,1543,36,102,34,68,1659.0
2023-07-08 00:07:09,1301,30,114,34,67,1640.0
2023-07-08 00:07:19,1538,35,102,33,68,1343.0
2023-07-08 00:07:29,873,20,100,32,68,640.0
2023-07-08 00:07:39,983,10,104,34,68,854.0
2023-07-08 00:49:00,1064,22,101,39,65,939.0
2023-07-08 00:49:20,2451,20,130,46,66,3731.0
2023-07-08 00:49:30,1700,39,129,42,67,2236.0
2023-07-08 00:49:40,1887,44,136,43,67,2552.0
2023-07-08 00:49:50,1335,31,103,41,67,1302.0
2023-07-08 00:50:00,1911,44,113,42,68,1988.0
2023-07-08 00:50:10,2319,54,111,41,68,2261.0
2023-07-08 00:50:20,2169,51,116,40,68,2364.0
2023-07-08 00:50:30,1842,43,116,40,69,2320.0
2023-07-08 00:50:40,1587,36,105,39,69,1389.0
2023-07-08 00:50:50,1725,38,121,41,69,1685.0
2023-07-08 00:51:00,1614,37,104,40,69,1459.0
2023-07-08 00:51:10,1348,31,105,40,69,1562.0
2023-07-08 00:51:20,892,18,100,38,69,649.0
2023-07-08 00:51:30,1700,39,134,41,69,2335.0
2023-07-08 00:51:40,1898,44,122,39,70,2210.0
2023-07-08 00:51:50,1831,43,106,39,70,1647.0
2023-07-08 00:52:00,1820,42,116,39,70,1965.0
2023-07-08 00:52:10,1754,41,104,39,70,1744.0
2023-07-08 00:52:20,1815,42,107,39,70,1604.0
2023-07-08 00:52:30,878,13,100,36,70,548.0
2023-07-08 00:52:40,1119,17,105,40,71,1139.0
2023-07-08 00:52:50,1636,25,107,39,71,2106.0
2023-07-08 00:53:00,2069,48,151,41,71,3147.0
2023-07-08 00:53:10,1580,37,113,39,72,1490.0
2023-07-08 00:53:20,861,3,100,37,71,625.0
2023-07-08 00:53:50,1946,30,136,43,71,1715.0
2023-07-08 00:54:00,871,10,100,37,72,628.0
2023-07-08 00:54:10,2208,31,117,41,72,3195.0
2023-07-08 00:54:20,1637,38,107,40,73,1686.0
2023-07-08 00:54:30,1918,44,113,41,73,1794.0
2023-07-08 00:54:40,2078,48,108,41,73,1830.0
2023-07-08 00:54:50,1603,38,101,40,73,1231.0
2023-07-08 00:55:00,1073,24,106,40,73,1140.0
2023-07-08 00:55:10,911,21,100,39,74,615.0
2023-07-08 00:55:20,918,10,101,41,74,744.0
2023-07-08 00:56:10,1097,9,100,41,72,770.0
2023-07-08 00:56:20,866,8,100,40,72,627.0
2023-07-08 00:56:30,887,4,100,41,72,661.0
2023-07-08 02:21:01,1443,22,107,46,64,1717.0
2023-07-08 02:21:11,1808,42,101,45,65,1420.0
2023-07-08 02:21:20,1998,49,102,45,65,2035.0
2023-07-08 02:21:30,826,20,100,42,65,632.0
2023-07-08 02:21:50,2012,31,132,48,65,3657.0
2023-07-08 02:22:00,2282,53,123,44,66,2185.0
2023-07-08 02:22:10,2196,51,111,43,67,2156.0
2023-07-08 02:22:20,2274,53,114,43,67,1966.0
2023-07-08 02:22:30,1559,50,105,42,68,1229.0
2023-07-08 02:22:40,858,29,100,41,68,647.0
