,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-07 22:07:08,861,3,98,29,72,661.0
2023-07-07 22:08:23,1493,21,102,29,71,1152.0
2023-07-07 22:08:33,1703,22,101,29,71,1280.0
2023-07-07 22:08:43,1597,12,113,29,72,2233.0
2023-07-07 22:08:53,1294,42,102,29,73,899.0
2023-07-07 22:09:03,1278,41,97,29,75,1538.0
2023-07-07 22:09:13,1020,28,98,29,75,763.0
2023-07-07 22:09:33,1187,9,98,30,75,1038.0
2023-07-07 22:09:43,961,9,98,30,75,649.0
2023-07-07 22:10:13,1491,19,99,30,76,977.0
2023-07-07 22:10:23,670,9,98,30,77,538.0
2023-07-07 22:10:33,855,4,98,31,77,638.0
2023-07-07 22:10:43,898,5,98,31,77,683.0
2023-07-07 22:12:13,1085,25,109,32,78,608.0
2023-07-07 22:12:33,1733,26,133,33,78,2997.0
2023-07-07 22:12:43,1072,25,104,33,79,1333.0
2023-07-07 22:12:53,1398,45,108,32,80,1488.0
2023-07-07 22:13:03,1532,50,99,32,81,1852.0
2023-07-07 22:13:13,1317,42,101,31,82,1669.0
2023-07-07 22:13:43,1302,31,112,31,82,1452.0
2023-07-07 22:13:53,1385,31,99,31,84,1066.0
2023-07-07 22:14:03,1247,40,103,31,85,1799.0
2023-07-07 22:14:13,1285,42,101,30,87,1555.0
2023-07-07 22:14:33,893,2,98,31,87,2183.0
2023-07-07 22:14:43,1357,32,113,31,87,2119.0
2023-07-07 22:14:53,1691,39,145,31,89,2288.0
2023-07-07 22:15:03,1401,45,102,31,91,1138.0
2023-07-07 22:15:13,1665,54,99,31,93,1994.0
2023-07-07 22:15:23,945,16,98,31,93,711.0
2023-07-07 22:15:33,1672,38,106,31,93,1233.0
2023-07-07 22:15:43,1602,37,101,32,90,1138.0
2023-07-07 22:15:53,1303,30,102,31,89,974.0
2023-07-07 22:16:03,1021,24,102,31,90,1136.0
2023-07-07 22:16:13,1843,43,104,31,91,1191.0
2023-07-07 22:16:23,1119,35,100,31,92,813.0
2023-07-07 22:16:33,1157,25,100,31,91,1463.0
2023-07-07 22:16:43,982,17,98,32,88,680.0
2023-07-07 22:16:53,885,4,98,32,88,636.0
2023-07-07 22:17:43,966,7,99,32,90,719.0
2023-07-07 22:20:43,856,3,98,34,89,641.0
2023-07-07 22:20:53,1116,15,98,34,89,1108.0
2023-07-07 22:22:03,1062,14,99,35,91,655.0
2023-07-07 22:22:13,1200,15,101,35,92,1547.0
2023-07-07 22:22:23,1664,22,107,35,92,1874.0
