,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-22 22:49:06,1616,52,99,25,80,1565.0
2023-02-22 23:12:07,2302,88,97,43,93,2210.0
2023-02-23 02:57:17,1302,8,97,52,93,1617.0
2023-02-23 06:15:51,1481,38,99,59,86,1195.0
2023-02-23 06:16:51,1680,9,96,60,86,1704.0
2023-02-23 06:26:33,1912,34,96,65,88,1482.0
2023-02-23 07:17:17,2135,41,98,51,89,2031.0
2023-02-23 23:07:09,1597,21,96,31,86,798.0
2023-02-23 23:09:09,2323,56,96,37,88,2081.0
2023-02-24 03:51:13,1992,50,99,52,87,1957.0
2023-02-24 05:16:21,1679,64,98,53,88,1507.0
2023-02-24 05:52:31,2122,39,96,50,90,2096.0
2023-02-24 06:07:31,2570,12,98,47,90,1579.0
2023-02-24 22:45:33,2792,108,96,39,90,2860.0
2023-02-24 22:50:33,2451,94,99,39,91,2931.0
2023-02-24 22:52:33,2609,101,96,39,89,2646.0
2023-02-24 23:01:58,2688,103,99,40,91,2868.0
2023-02-24 23:45:50,2229,40,99,47,90,2300.0
2023-02-25 00:39:53,1858,60,99,51,86,1696.0
2023-02-25 02:45:59,1442,36,99,50,93,1185.0
2023-02-25 03:15:39,2108,28,101,53,92,2812.0
2023-02-25 05:54:00,1593,29,97,43,90,1115.0
2023-02-25 06:44:52,995,33,100,45,91,187.0
2023-02-25 06:51:52,1886,74,97,45,94,1442.0
2023-02-25 06:56:52,1738,67,98,43,91,1315.0
2023-02-25 07:02:52,2255,75,97,41,90,2014.0
2023-02-25 07:07:55,2148,83,100,45,93,2325.0
2023-02-25 07:08:55,1262,47,98,46,94,1035.0
2023-02-25 07:14:55,2409,92,99,44,94,2506.0
2023-02-25 07:27:45,1841,34,97,45,89,1264.0
2023-02-27 23:00:30,1742,53,97,50,86,1464.0
2023-02-27 23:02:30,2280,58,97,45,87,2409.0
2023-02-27 23:24:36,2395,91,99,40,90,2465.0
2023-02-27 23:41:51,2515,94,97,44,88,1446.0
2023-02-28 01:39:32,1268,16,98,55,87,1010.0
2023-02-28 02:58:03,1908,62,97,39,89,2034.0
2023-02-28 07:46:34,2666,103,99,45,89,3100.0
2023-02-28 07:57:06,2359,77,96,53,86,1990.0
2023-02-28 22:40:25,1373,17,98,28,80,1189.0
2023-02-28 22:42:25,2721,52,97,32,85,3040.0
2023-03-01 00:28:17,1885,48,98,45,90,1853.0
2023-03-01 22:27:08,2934,94,99,33,89,3612.0
2023-03-01 22:30:08,2457,94,98,39,91,2554.0
2023-03-02 07:08:55,2598,48,97,60,88,2548.0
2023-03-02 07:22:55,2006,77,97,52,89,403.0
2023-03-03 06:44:17,2398,92,97,54,88,2304.0
2023-03-03 06:46:17,2382,92,96,55,87,2170.0
2023-03-03 07:10:16,1357,16,99,50,93,948.0
2023-03-04 02:32:26,1866,10,97,51,93,1165.0
2023-03-04 04:55:37,2443,32,97,71,86,425.0
2023-03-04 07:09:50,1943,73,97,50,91,1382.0
2023-03-06 00:54:04,1521,28,100,33,73,1410.0
2023-03-06 22:42:36,2503,96,99,39,90,2887.0
2023-03-06 23:01:36,2638,101,97,43,90,2485.0
2023-03-06 23:07:36,2834,108,99,46,85,2414.0
2023-03-06 23:08:36,2711,105,96,44,90,2510.0
2023-03-06 23:15:36,2099,81,99,46,91,2028.0
2023-03-06 23:41:42,1815,44,98,56,86,1400.0
2023-03-06 23:42:42,2228,42,97,56,87,1909.0
2023-03-07 00:57:08,1734,45,100,57,86,1864.0
2023-03-07 01:30:54,2234,58,96,62,83,1725.0
2023-03-07 02:06:33,1330,42,100,58,87,1248.0
2023-03-07 04:19:09,1684,30,97,61,85,1615.0
2023-03-07 07:09:59,1560,38,100,60,88,1301.0
2023-03-07 07:10:59,1684,45,97,60,87,1210.0
2023-03-07 08:04:09,2817,108,96,57,86,1820.0
2023-03-07 08:16:09,2534,97,96,53,88,1575.0
2023-03-07 08:20:09,2384,92,96,55,85,2173.0
2023-03-07 08:23:09,2336,89,99,53,88,2390.0
2023-03-07 08:27:09,2707,105,96,54,86,1653.0
2023-03-07 08:40:09,1978,51,100,53,88,1842.0
2023-03-07 23:07:43,2607,100,98,60,87,2762.0
2023-03-07 23:08:43,2952,114,96,54,86,3085.0
2023-03-08 00:32:27,2022,38,97,55,87,1212.0
2023-03-08 01:18:44,1149,36,97,53,93,832.0
2023-03-08 01:51:12,2637,34,98,66,86,2431.0
2023-03-08 01:54:12,976,24,98,64,86,585.0
2023-03-08 02:27:16,1555,20,99,57,92,1514.0
2023-03-08 03:12:22,1854,58,98,59,86,1693.0
2023-03-08 03:35:36,1724,44,98,62,87,1398.0
2023-03-08 05:44:24,2307,40,98,55,87,2420.0
2023-03-08 05:45:24,1864,46,97,53,90,1620.0
2023-03-08 06:21:24,1485,6,96,58,87,1046.0
2023-03-08 06:28:28,1316,34,99,60,87,1095.0
2023-03-08 06:33:29,1910,35,97,61,88,1295.0
2023-03-08 06:36:28,2346,89,97,55,88,2370.0
2023-03-08 06:44:29,2403,93,97,54,84,2751.0
2023-03-08 07:24:37,1516,49,96,69,85,970.0
2023-03-08 23:01:11,2408,93,96,38,90,2529.0
2023-03-09 03:07:03,1970,50,97,60,85,1854.0
2023-03-09 03:08:03,2065,37,98,59,88,1823.0
2023-03-09 03:13:03,1461,37,98,60,86,1273.0
2023-03-09 04:29:53,2172,40,96,52,89,1779.0
2023-03-09 04:30:53,1563,21,96,55,91,1779.0
2023-03-09 07:05:59,2291,88,96,51,90,2178.0
2023-03-09 07:08:59,1793,46,97,53,89,1490.0
2023-03-09 07:09:58,1977,77,96,53,87,2043.0
2023-03-09 07:13:58,1063,26,98,51,91,989.0
2023-03-09 07:34:21,2853,54,98,54,88,3151.0
2023-03-09 07:45:21,1612,53,98,46,89,1464.0
2023-03-09 23:06:41,2622,100,98,42,92,2817.0
2023-03-10 08:49:58,863,29,97,31,61,978.0
2023-03-10 08:57:58,2609,100,96,41,91,2984.0
2023-03-10 09:20:57,2133,69,99,46,89,2453.0
2023-03-10 22:43:05,1564,59,97,27,85,779.0
2023-03-10 23:00:05,2293,88,97,40,92,2371.0
2023-03-10 23:19:05,2282,87,101,41,91,2714.0
2023-03-11 00:16:56,1570,39,98,51,88,1109.0
2023-03-11 00:44:16,2367,12,100,53,93,1414.0
2023-03-11 00:48:16,1645,21,96,51,92,1106.0
2023-03-11 01:31:13,1152,29,98,54,91,1075.0
2023-03-11 01:59:55,1790,23,98,58,86,1889.0
2023-03-11 02:01:55,1902,36,100,54,90,1837.0
2023-03-11 02:16:56,2113,27,98,57,89,1751.0
2023-03-11 03:34:50,1245,32,98,53,91,1056.0
2023-03-11 03:59:11,1332,34,98,53,91,1800.0
2023-03-11 06:30:24,2927,112,97,52,86,3015.0
2023-03-13 22:48:56,2291,12,99,29,81,1376.0
2023-03-13 22:51:56,2032,50,96,36,87,1757.0
2023-03-13 23:03:56,2580,95,99,43,91,2859.0
2023-03-13 23:28:56,2399,12,99,42,91,376.0
2023-03-13 23:47:23,1413,25,96,56,95,1225.0
2023-03-13 23:53:23,1569,27,99,50,89,1545.0
2023-03-14 00:01:23,2338,11,96,51,91,2212.0
2023-03-14 00:07:23,1795,8,96,53,88,1501.0
2023-03-14 00:10:23,1569,29,99,51,88,1273.0
2023-03-14 00:36:45,1370,35,99,49,90,1373.0
2023-03-14 01:09:49,1784,45,96,47,90,1362.0
2023-03-14 01:10:49,1759,44,98,47,91,1328.0
2023-03-14 01:56:42,1268,32,97,43,87,982.0
2023-03-14 01:57:42,991,27,98,43,86,662.0
