,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-08 00:12:05,1930,38,99,41,85,1761.0
2023-07-08 00:12:45,2186,59,99,41,88,1397.0
2023-07-08 00:13:15,2293,62,98,41,88,1452.0
2023-07-08 00:14:05,2406,64,96,41,90,1127.0
2023-07-08 00:14:25,2179,69,99,41,90,1169.0
2023-07-08 00:14:45,2187,69,98,42,90,1508.0
2023-07-08 00:18:35,2980,95,97,41,90,2200.0
2023-07-08 00:22:05,2587,50,99,41,90,1908.0
2023-07-08 01:27:26,2512,53,99,54,84,2144.0
2023-07-08 01:27:29,2588,70,98,54,89,1572.0
2023-07-08 01:28:19,2519,80,99,53,89,1422.0
2023-07-08 01:28:29,2670,84,97,53,90,1355.0
2023-07-08 01:30:09,2885,56,98,50,90,2291.0
2023-07-08 01:31:49,1901,37,96,53,88,944.0
2023-07-08 01:32:49,1695,34,100,55,90,1452.0
2023-07-08 03:14:43,1849,23,100,52,91,1752.0
2023-07-08 03:14:53,3424,41,98,51,92,2672.0
2023-07-08 03:42:04,2701,53,99,59,89,1983.0
2023-07-08 03:42:34,2184,43,100,58,90,1805.0
2023-07-08 03:50:15,3630,116,96,47,97,2897.0
2023-07-08 03:50:55,3476,110,97,46,99,2752.0
2023-07-08 03:51:14,3381,109,97,45,98,2697.0
2023-07-08 03:56:24,3322,91,98,41,97,2761.0
2023-07-08 03:56:34,3957,108,98,41,99,3469.0
2023-07-08 03:57:34,3214,40,98,46,97,2430.0
2023-07-08 03:57:54,2065,56,100,47,96,1719.0
2023-07-08 03:59:04,1125,13,100,53,93,955.0
2023-07-08 04:00:54,2671,32,99,56,90,1947.0
2023-07-08 04:27:34,2444,47,99,62,90,1661.0
2023-07-08 04:28:34,1838,35,99,62,92,1527.0
2023-07-08 04:29:03,2390,47,99,62,91,1850.0
2023-07-08 04:29:13,2233,60,96,61,93,502.0
2023-07-08 04:30:13,2429,66,99,60,93,1847.0
2023-07-08 04:31:43,2023,35,99,62,90,1558.0
2023-07-08 06:36:11,2385,30,99,49,87,341.0
2023-07-08 06:36:22,1940,53,100,48,90,1769.0
2023-07-08 06:37:31,2793,35,99,48,87,1766.0
2023-07-08 06:37:41,2019,55,99,47,88,1219.0
2023-07-08 06:43:42,2643,33,99,57,88,2391.0
2023-07-08 06:44:12,2432,48,98,56,90,1150.0
2023-07-08 06:44:53,1696,23,100,56,92,1958.0
2023-07-08 06:45:02,2851,56,99,56,92,2394.0
2023-07-08 06:46:02,2062,26,100,57,91,1727.0
2023-07-08 06:46:22,2143,38,100,58,91,1422.0
2023-07-08 19:46:08,2296,63,98,35,87,1133.0
2023-07-08 19:46:28,2188,59,99,35,87,1905.0
2023-07-08 19:47:18,2241,61,99,35,88,1719.0
2023-07-08 19:47:28,2533,80,99,35,88,2069.0
2023-07-08 19:52:58,3133,99,96,35,91,2319.0
2023-07-08 19:58:58,3387,108,97,35,89,2658.0
2023-07-08 19:59:08,3583,113,97,34,91,2966.0
2023-07-08 20:08:18,2149,58,99,32,90,1825.0
2023-07-08 20:08:28,2790,68,98,32,93,1466.0
2023-07-08 20:08:38,2661,85,96,31,93,1961.0
2023-07-08 20:10:38,1957,54,99,35,88,1813.0
