,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-23 01:11:49,953,11,108,37,79,1181.0
2023-02-23 01:14:23,2180,25,120,42,79,3517.0
2023-02-23 01:18:23,1535,11,121,42,79,3422.0
2023-02-23 01:45:08,2451,32,192,36,80,3378.0
2023-02-23 01:46:08,2030,24,133,35,80,3631.0
2023-02-23 01:47:08,1140,3,116,37,81,1608.0
2023-02-23 02:08:55,1484,29,114,44,79,2108.0
2023-02-23 02:09:55,857,16,108,39,81,1119.0
2023-02-23 02:26:10,2217,27,123,44,79,3619.0
2023-02-23 02:27:10,947,22,110,36,81,1256.0
2023-02-23 02:28:10,1911,24,159,41,80,3208.0
2023-02-23 02:31:10,1069,7,113,50,80,1528.0
2023-02-23 02:32:10,2406,49,255,37,79,8478.0
2023-02-23 02:33:10,948,2,107,37,81,1258.0
2023-02-23 02:34:10,1568,48,122,37,79,2419.0
2023-02-23 02:59:25,949,4,108,37,80,1264.0
2023-02-23 03:01:25,967,24,111,35,80,1275.0
2023-02-23 03:42:34,2517,49,148,42,78,5197.0
2023-02-23 03:43:34,2089,27,176,48,80,8019.0
2023-02-23 03:44:34,1877,57,127,48,80,3142.0
2023-02-23 03:47:34,2647,52,136,43,80,5100.0
2023-02-23 04:42:52,2268,114,217,37,83,5481.0
2023-02-23 04:43:53,2261,113,210,35,82,4761.0
2023-02-23 04:44:52,1944,97,137,34,84,1478.0
2023-02-23 04:45:57,2309,116,192,36,83,4778.0
2023-02-23 04:46:57,2294,115,220,37,82,5358.0
2023-02-23 04:47:57,2273,114,176,37,83,2906.0
2023-02-23 04:48:57,2268,114,127,33,81,2389.0
2023-02-23 04:49:57,2270,114,255,35,84,8161.0
2023-02-23 04:50:57,2265,114,162,38,83,2981.0
2023-02-23 04:51:57,2272,114,252,37,84,7808.0
2023-02-23 04:52:57,2265,114,176,37,83,3233.0
2023-02-23 04:53:57,2274,114,187,38,83,4203.0
2023-02-23 04:54:57,2265,114,156,37,82,2931.0
2023-02-23 04:55:57,2264,114,107,33,80,1975.0
