,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-22 21:50:48,1319,38,99,24,40,1299.0
2023-02-22 21:52:48,1777,31,102,24,45,2641.0
2023-02-22 22:00:32,865,8,100,28,70,644.0
2023-02-22 22:01:32,760,5,100,28,74,474.0
2023-02-22 22:07:09,1727,98,136,28,93,2624.0
2023-02-22 22:08:17,1386,79,102,26,95,1869.0
2023-02-22 22:09:17,1704,97,104,26,94,1816.0
2023-02-22 22:10:17,1724,98,130,29,95,3261.0
2023-02-22 22:11:17,1948,111,130,27,95,3111.0
2023-02-22 22:12:17,1818,104,104,27,94,2019.0
2023-02-22 22:13:17,1910,109,108,26,98,2324.0
2023-02-22 22:14:17,1807,103,108,25,93,2233.0
2023-02-22 22:15:17,1739,99,136,27,97,2874.0
2023-02-22 22:16:17,1781,102,102,27,94,1549.0
2023-02-22 22:17:17,1796,102,111,28,96,2349.0
2023-02-22 22:18:17,1863,106,112,29,93,2636.0
2023-02-22 22:19:17,1704,97,104,29,94,1855.0
2023-02-22 22:20:17,1839,105,97,31,95,1155.0
2023-02-22 22:21:17,1857,105,102,29,97,2111.0
2023-02-22 22:22:17,1842,105,103,26,92,2458.0
2023-02-22 22:23:17,1798,102,102,25,94,2461.0
2023-02-22 22:24:17,1776,101,106,26,90,2936.0
2023-02-22 22:25:17,1861,106,104,25,92,2555.0
2023-02-22 22:26:17,1751,100,132,27,92,2894.0
2023-02-22 22:27:17,1379,78,105,28,96,1741.0
2023-02-22 22:28:17,2157,93,110,27,97,3202.0
2023-02-22 22:29:17,1718,98,106,26,96,1988.0
2023-02-22 22:30:17,1925,110,105,26,96,2036.0
2023-02-22 22:31:17,2010,114,114,26,97,2558.0
2023-02-22 22:32:17,1955,111,127,28,95,3161.0
2023-02-22 22:33:17,1929,110,105,27,96,1924.0
2023-02-22 22:34:17,1792,102,106,27,97,2424.0
2023-02-22 22:35:17,1762,100,126,27,96,2730.0
2023-02-22 22:36:17,1806,103,108,27,94,2113.0
2023-02-22 22:37:17,1808,103,117,28,98,2611.0
2023-02-22 22:38:17,1706,97,107,28,98,1919.0
2023-02-22 22:39:17,1676,93,152,27,97,3180.0
2023-02-22 22:40:17,1764,101,104,28,94,1747.0
2023-02-22 22:41:17,1714,98,124,26,96,2599.0
2023-02-22 22:42:17,1726,98,107,27,95,2494.0
2023-02-22 22:43:17,1779,102,111,28,93,2291.0
2023-02-22 22:44:17,1918,110,106,26,97,1955.0
2023-02-22 22:45:17,1807,102,122,27,92,2644.0
2023-02-22 22:46:17,1422,81,105,28,97,1480.0
2023-02-22 22:47:17,1658,94,111,28,94,2122.0
