,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-08 00:43:36,1642,45,97,40,49,1358.0
2023-07-08 00:43:42,2060,62,166,43,52,4272.0
2023-07-08 00:43:52,925,33,98,40,54,1352.0
2023-07-08 00:44:02,2018,59,122,41,56,2677.0
2023-07-08 00:44:12,1629,27,99,41,57,1938.0
2023-07-08 00:44:22,2369,70,211,46,57,6474.0
2023-07-08 00:44:32,2189,94,136,44,65,3683.0
2023-07-08 00:44:42,2247,97,127,39,69,3324.0
2023-07-08 00:44:52,2413,104,141,39,71,4055.0
2023-07-08 00:45:02,2528,109,150,39,67,4424.0
2023-07-08 00:45:11,2653,114,152,40,78,4847.0
2023-07-08 00:45:21,2546,109,112,38,81,2872.0
2023-07-08 00:45:31,2513,108,133,39,83,3841.0
2023-07-08 00:45:41,2541,109,130,39,84,3880.0
2023-07-08 00:45:51,2649,114,119,38,86,3544.0
2023-07-08 00:46:01,2631,113,111,38,86,2766.0
2023-07-08 00:46:11,2502,108,103,37,86,2369.0
2023-07-08 00:46:21,2584,111,149,38,87,4647.0
2023-07-08 00:46:31,2590,111,106,38,89,2602.0
2023-07-08 00:46:41,2625,113,173,38,89,5311.0
2023-07-08 00:46:51,2708,116,132,41,92,4227.0
2023-07-08 00:47:01,2739,118,148,43,94,5119.0
2023-07-08 00:47:11,2765,119,109,40,96,3508.0
2023-07-08 00:47:21,2121,121,103,38,96,1924.0
2023-07-08 00:47:31,1870,106,104,37,95,2430.0
2023-07-08 00:47:41,1713,98,120,37,95,2152.0
2023-07-08 00:47:51,1892,108,124,38,96,3119.0
2023-07-08 00:48:01,1866,106,114,38,97,2630.0
2023-07-08 00:48:11,1737,99,98,38,98,1327.0
2023-07-08 00:48:21,1765,100,102,37,93,1427.0
2023-07-08 00:48:31,1639,93,108,37,91,1977.0
2023-07-08 00:48:41,1415,80,103,37,92,1777.0
2023-07-08 00:48:51,1612,92,166,37,94,2513.0
2023-07-08 00:49:01,1715,97,123,38,98,2547.0
2023-07-08 00:49:11,1464,83,104,39,100,2044.0
2023-07-08 00:49:21,1561,89,114,38,99,2030.0
2023-07-08 00:49:31,1696,97,108,39,95,2908.0
2023-07-08 00:49:41,1942,111,127,38,93,3063.0
2023-07-08 00:49:51,1985,113,99,39,92,1347.0
2023-07-08 00:50:01,1948,111,103,37,92,1438.0
2023-07-08 00:50:11,2045,117,130,37,95,3213.0
2023-07-08 00:50:21,2090,119,110,37,98,2480.0
2023-07-08 00:50:31,2082,118,107,37,97,2711.0
2023-07-08 00:50:41,1908,107,100,38,92,1636.0
2023-07-08 00:50:51,1839,105,147,37,93,2941.0
2023-07-08 00:51:01,2210,126,170,40,97,3994.0
2023-07-08 00:51:11,2159,123,105,39,98,2244.0
2023-07-08 00:51:21,2001,113,100,39,92,1341.0
2023-07-08 00:51:31,1981,113,101,37,92,1799.0
2023-07-08 00:51:41,1829,104,99,39,94,1566.0
2023-07-08 00:51:51,1682,95,103,37,96,2152.0
2023-07-08 00:52:01,1578,90,105,38,97,2738.0
2023-07-08 00:52:11,1883,107,125,38,98,2788.0
2023-07-08 00:52:21,1914,79,98,37,95,3099.0
2023-07-08 00:52:31,1404,41,126,38,91,2572.0
2023-07-08 00:52:41,1576,68,131,39,95,2608.0
2023-07-08 00:52:51,1882,81,108,38,98,1422.0
2023-07-08 00:53:01,1793,77,124,37,96,2233.0
2023-07-08 00:53:11,1555,65,103,37,92,1891.0
2023-07-08 00:53:21,2490,44,151,36,93,3327.0
2023-07-08 00:53:31,2476,43,105,39,96,2511.0
2023-07-08 00:53:41,2078,61,110,41,98,3038.0
2023-07-08 00:53:51,2168,63,106,40,93,2738.0
2023-07-08 00:54:01,828,6,100,41,92,988.0
2023-07-08 00:54:11,2472,40,107,41,95,2549.0
2023-07-08 00:54:21,2989,88,128,46,99,4430.0
2023-07-08 00:54:31,1882,81,103,42,99,2413.0
2023-07-08 00:54:41,1920,83,196,41,94,3027.0
2023-07-08 00:54:51,1727,73,103,40,93,2208.0
2023-07-08 00:55:01,834,17,100,40,93,566.0
2023-07-08 00:55:21,803,5,101,43,94,1044.0
2023-07-08 00:55:51,2229,24,106,46,97,2138.0
2023-07-08 00:56:01,1375,13,103,47,97,1519.0
2023-07-08 00:57:21,1711,15,103,55,97,1852.0
2023-07-08 00:57:41,1126,4,100,55,95,1241.0
2023-07-08 00:59:01,1525,21,104,59,96,1269.0
2023-07-08 01:00:41,2368,23,147,64,96,4447.0
