,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-07-07 22:56:50,1648,70,96,32,75,2119.0
2023-07-07 22:57:50,1516,65,96,32,79,1974.0
2023-07-07 22:58:50,1806,77,97,32,79,2333.0
2023-07-07 23:00:50,2112,91,100,31,80,2677.0
2023-07-07 23:01:50,1799,76,101,31,79,2366.0
2023-07-07 23:02:50,1640,48,101,31,79,2180.0
2023-07-07 23:03:50,1785,52,100,33,81,1424.0
2023-07-07 23:04:50,2107,120,140,36,88,2863.0
2023-07-07 23:05:50,2083,119,154,35,95,2997.0
2023-07-07 23:07:50,1796,102,101,35,96,1433.0
2023-07-07 23:08:50,805,6,101,36,95,580.0
2023-07-07 23:09:50,2354,42,113,38,90,2405.0
2023-07-07 23:10:50,1240,53,102,35,92,1199.0
2023-07-07 23:11:50,1582,46,101,36,94,1305.0
2023-07-07 23:12:50,1565,28,102,35,91,2138.0
2023-07-07 23:13:50,1314,12,101,37,93,1477.0
2023-07-08 04:14:28,1441,42,100,39,58,1902.0
2023-07-08 04:15:28,1661,95,151,43,74,2972.0
2023-07-08 04:16:28,2152,123,158,45,97,3986.0
2023-07-08 04:17:28,1798,102,104,39,96,1983.0
2023-07-08 04:18:28,2067,118,121,38,98,2947.0
2023-07-08 04:19:28,902,25,102,37,93,869.0
2023-07-08 04:20:28,2150,63,125,42,93,3327.0
2023-07-08 04:21:28,1551,66,104,42,97,1974.0
2023-07-08 04:22:28,2087,61,141,47,93,3119.0
2023-07-08 04:23:28,1822,104,207,49,93,4555.0
2023-07-08 04:24:28,1795,77,109,42,90,2319.0
2023-07-08 04:25:28,1414,42,105,49,91,2124.0
2023-07-08 04:26:28,1875,51,189,57,94,4272.0
2023-07-08 04:27:28,1474,84,141,46,97,2483.0
2023-07-08 04:28:28,1023,17,102,44,92,1255.0
2023-07-08 05:25:25,1701,73,96,45,98,1419.0
2023-07-08 05:26:25,1574,16,97,47,96,1413.0
2023-07-08 05:28:25,1684,17,96,52,96,1458.0
2023-07-08 05:29:25,1919,34,139,42,94,3111.0
2023-07-08 06:30:40,894,2,96,46,88,786.0
2023-07-08 06:31:40,890,10,96,48,91,1066.0
2023-07-09 05:29:51,1806,78,97,35,71,1780.0
2023-07-09 05:30:51,1777,77,97,34,78,2319.0
2023-07-09 05:31:51,1891,81,98,36,80,2430.0
2023-07-09 05:32:51,2162,93,99,35,79,2744.0
2023-07-09 05:33:51,1487,63,100,35,79,1922.0
2023-07-09 05:34:51,1880,55,99,36,80,1533.0
2023-07-09 05:35:51,1779,76,100,35,82,1497.0
2023-07-09 05:36:51,1293,37,104,36,87,1538.0
2023-07-09 05:37:51,894,15,101,37,90,930.0
2023-07-09 05:50:35,1057,40,105,41,92,1819.0
2023-07-09 05:51:35,1750,51,122,43,99,3088.0
2023-07-09 05:52:35,1664,16,101,44,95,1991.0
2023-07-09 06:20:54,1609,68,102,40,97,2116.0
2023-07-09 06:21:54,1788,31,102,43,94,2305.0
2023-07-09 06:24:54,2120,19,106,57,93,2774.0
2023-07-09 06:25:54,2144,63,128,42,98,2861.0
2023-07-09 06:26:54,1598,67,104,39,92,1533.0
2023-07-09 06:27:54,1656,95,107,41,95,2080.0
2023-07-09 06:32:54,2451,24,134,64,96,4766.0
2023-07-09 06:33:54,2043,86,126,43,98,3141.0
2023-07-09 06:34:54,1813,53,100,40,96,1472.0
2023-07-09 06:36:54,1890,82,127,45,95,2561.0
2023-07-09 06:37:54,2042,88,159,49,91,4174.0
2023-07-09 06:38:54,2013,85,187,47,93,4705.0
2023-07-09 06:39:54,1890,81,135,45,96,3080.0
2023-07-09 06:40:54,1244,52,100,44,95,1497.0
2023-07-09 06:41:54,2060,88,123,46,96,3147.0
2023-07-09 06:42:54,1837,79,100,42,93,2299.0
2023-07-10 23:05:03,1682,72,96,27,53,2205.0
2023-07-10 23:06:03,1829,79,97,28,56,2449.0
2023-07-10 23:07:03,1738,75,98,28,57,2372.0
2023-07-10 23:08:03,1706,30,100,28,58,1783.0
2023-07-10 23:09:03,1741,52,153,31,63,3147.0
2023-07-10 23:10:03,1913,109,142,33,82,3174.0
2023-07-10 23:11:03,1909,109,104,31,97,1841.0
2023-07-10 23:12:03,1946,111,109,32,93,2194.0
2023-07-10 23:13:03,1773,101,103,31,94,2386.0
2023-07-10 23:14:03,1771,101,138,32,99,2555.0
2023-07-10 23:15:04,1950,106,107,31,92,2588.0
2023-07-10 23:16:03,1527,87,103,32,94,1933.0
2023-07-10 23:17:03,1557,89,105,32,92,2138.0
2023-07-10 23:18:03,934,16,100,33,92,1002.0
2023-07-10 23:19:03,2848,27,107,39,97,2849.0
2023-07-10 23:20:03,1087,12,100,38,96,738.0
2023-07-10 23:22:03,1111,32,101,38,92,1427.0
2023-07-10 23:25:03,795,9,101,50,95,988.0
2023-07-10 23:26:03,1909,32,104,43,93,2041.0
2023-07-10 23:27:03,1615,16,100,44,97,1394.0
2023-07-11 01:29:58,1599,27,100,36,75,2127.0
2023-07-11 01:30:58,1372,23,100,37,78,983.0
2023-07-11 01:31:58,1202,21,101,36,80,1736.0
2023-07-11 01:33:58,1201,35,101,35,82,1530.0
2023-07-11 01:34:58,1752,52,99,36,86,1416.0
2023-07-11 01:35:58,1419,25,99,36,89,1163.0
2023-07-11 01:36:58,829,22,101,37,92,922.0
2023-07-11 01:37:58,828,9,100,41,94,666.0
2023-07-11 01:38:58,823,27,101,40,96,888.0
2023-07-11 01:39:58,1920,33,101,43,97,1630.0
2023-07-11 01:40:58,1788,18,105,46,94,1497.0
2023-07-11 01:41:58,1574,36,101,42,97,1344.0
2023-07-11 01:42:58,1167,20,101,43,96,877.0
2023-07-11 03:24:40,2236,21,102,48,69,2363.0
2023-07-11 03:25:40,1610,46,101,41,75,2158.0
2023-07-11 03:26:40,2284,22,124,43,82,2886.0
2023-07-11 03:28:40,1972,16,101,43,83,1844.0
2023-07-11 03:29:40,1522,65,113,41,92,2141.0
2023-07-11 03:30:40,1819,104,105,37,93,1974.0
2023-07-11 03:31:40,1850,80,145,38,92,4033.0
2023-07-11 03:32:40,1903,95,111,38,99,3091.0
2023-07-11 03:33:40,1837,79,108,38,95,2577.0
2023-07-11 03:34:40,1960,112,114,36,94,2591.0
2023-07-11 03:35:40,1548,46,103,36,93,1719.0
2023-07-11 03:36:40,2002,59,107,38,94,2344.0
2023-07-11 03:37:40,925,27,101,37,96,786.0
2023-07-11 03:38:40,1782,52,103,37,96,1930.0
2023-07-11 03:39:40,1111,32,101,37,98,1213.0
2023-07-11 03:40:40,1158,19,101,38,95,1438.0
2023-07-11 04:14:13,1249,19,101,41,98,1261.0
2023-07-11 04:15:13,1716,30,99,41,95,1383.0
2023-07-11 04:16:14,1831,54,101,37,93,1658.0
2023-07-11 04:17:14,1912,109,156,37,97,3666.0
2023-07-11 04:18:13,1975,112,108,34,92,2322.0
2023-07-11 04:19:13,1872,55,102,35,96,2047.0
2023-07-11 04:20:13,1429,61,102,37,97,1480.0
2023-07-11 04:21:13,1553,67,122,35,96,2366.0
2023-07-11 04:22:13,1926,83,175,42,96,4352.0
2023-07-11 04:23:13,1978,85,208,44,95,5216.0
2023-07-11 04:24:13,1764,76,148,39,91,3227.0
2023-07-11 04:25:13,1936,85,107,40,96,2302.0
2023-07-11 04:26:13,2431,72,216,45,96,6394.0
2023-07-11 04:27:13,1712,97,103,38,91,2186.0
2023-07-11 05:56:32,1863,55,97,31,78,1938.0
2023-07-11 05:57:32,1794,102,99,32,85,2341.0
2023-07-11 05:58:32,1892,108,99,30,86,2491.0
2023-07-11 05:59:32,1905,109,99,31,84,2524.0
2023-07-11 06:00:32,1058,30,100,32,82,983.0
2023-07-11 06:01:32,1230,21,99,33,84,1455.0
2023-07-11 06:02:32,1573,90,103,32,90,1797.0
2023-07-11 06:03:32,820,15,100,33,93,783.0
2023-07-11 06:04:32,1249,21,101,36,96,1697.0
2023-07-11 06:05:32,1830,75,194,39,99,4319.0
2023-07-11 06:06:32,1921,109,107,36,96,2624.0
2023-07-11 06:07:32,1682,96,144,38,98,3408.0
2023-07-11 06:08:32,2222,127,104,35,96,2338.0
2023-07-11 06:09:32,1783,52,100,34,97,2274.0
2023-07-11 06:11:32,1811,77,102,39,97,2030.0
2023-07-11 06:12:32,2489,45,168,44,97,3427.0
2023-07-11 06:15:32,1178,21,101,54,96,1286.0
2023-07-11 07:42:31,1283,37,100,38,74,1261.0
2023-07-11 07:43:31,1556,26,99,39,80,1358.0
2023-07-11 07:44:31,822,9,100,37,81,622.0
2023-07-11 07:51:10,1341,39,100,38,88,1141.0
2023-07-11 07:52:10,1159,19,101,37,92,997.0
2023-07-11 07:54:10,1610,47,102,35,99,1386.0
2023-07-11 07:55:10,814,19,100,35,95,755.0
2023-07-11 07:56:10,2202,39,106,39,91,2108.0
2023-07-11 07:58:10,1716,98,156,38,97,4024.0
2023-07-11 07:59:10,2027,116,156,36,95,3852.0
2023-07-11 08:00:10,1984,113,187,36,94,4905.0
2023-07-11 08:01:10,2025,115,144,33,93,3591.0
2023-07-11 08:02:10,2031,116,105,33,96,2077.0
2023-07-11 08:03:10,1745,31,108,33,94,1938.0
2023-07-11 08:04:10,1414,60,103,34,97,1966.0
2023-07-11 08:05:10,1960,57,103,36,95,1744.0
2023-07-11 08:06:10,1934,83,159,39,95,3791.0
2023-07-11 08:07:10,2193,65,200,42,95,5263.0
2023-07-11 08:08:10,1573,67,118,37,96,2452.0
2023-07-11 08:09:10,2148,62,105,40,94,2197.0
2023-07-11 08:10:10,1012,29,100,44,94,1074.0
2023-07-11 08:11:10,1520,45,144,51,95,3052.0
2023-07-11 08:12:10,1178,35,100,50,95,1488.0
2023-07-11 08:13:10,1722,74,107,44,97,2249.0
2023-07-11 08:14:10,1152,19,97,39,94,1530.0
2023-07-11 22:43:42,1369,24,100,25,69,2327.0
2023-07-11 22:55:42,2413,67,178,33,81,4086.0
2023-07-11 22:56:42,1994,86,97,26,84,2580.0
2023-07-11 22:57:42,1725,51,149,27,82,3230.0
2023-07-11 22:58:42,1962,57,98,27,84,2663.0
2023-07-11 22:59:42,1618,46,98,27,85,1405.0
2023-07-11 23:00:42,2194,65,99,27,90,1883.0
2023-07-11 23:01:42,1852,54,101,27,89,1977.0
2023-07-11 23:02:42,750,17,98,27,88,713.0
2023-07-11 23:03:42,1887,55,99,28,88,2455.0
2023-07-11 23:04:42,1603,46,100,27,88,2219.0
2023-07-11 23:05:42,1405,41,127,29,91,2105.0
2023-07-11 23:06:42,1844,105,104,29,96,2136.0
2023-07-11 23:07:42,1711,98,190,30,95,4399.0
2023-07-11 23:08:42,1744,99,103,28,94,2369.0
2023-07-11 23:09:42,1826,104,103,27,93,2458.0
2023-07-11 23:10:42,1649,94,111,27,98,2208.0
2023-07-11 23:11:42,1946,111,106,28,91,2099.0
2023-07-11 23:12:42,1622,70,135,29,94,2874.0
2023-07-11 23:13:42,1675,95,112,29,97,1952.0
2023-07-11 23:14:42,1995,114,152,35,97,3861.0
2023-07-11 23:15:42,873,79,102,31,95,1280.0
2023-07-11 23:16:42,824,7,100,32,92,777.0
2023-07-11 23:17:42,1528,44,101,31,94,2122.0
2023-07-12 00:26:34,1776,31,105,48,76,2255.0
2023-07-12 00:27:34,1704,30,101,35,86,1608.0
2023-07-12 00:28:34,1662,71,105,35,93,1869.0
2023-07-12 00:29:34,1950,111,98,32,96,1433.0
2023-07-12 00:30:34,1951,111,101,31,93,1536.0
2023-07-12 00:31:34,1961,112,161,35,87,4161.0
2023-07-12 00:32:34,1940,112,100,32,96,1388.0
2023-07-12 00:33:34,1783,49,111,33,94,2241.0
2023-07-12 00:34:34,831,23,101,32,93,1108.0
2023-07-12 00:35:34,1923,56,144,38,94,3036.0
2023-07-12 00:36:34,818,11,99,41,95,661.0
2023-07-12 01:42:31,1589,28,100,51,73,1797.0
2023-07-12 01:43:31,2166,64,100,36,80,2774.0
2023-07-12 01:44:31,1646,69,106,35,82,2513.0
2023-07-12 01:45:31,1901,81,103,34,89,2549.0
2023-07-12 01:46:31,859,28,101,33,94,930.0
2023-07-12 01:47:31,2030,115,118,36,92,2422.0
2023-07-12 01:48:31,2029,116,123,34,94,2999.0
2023-07-12 01:49:31,2027,116,122,34,95,2922.0
